id foto,Pred. Total,Real Total,Error
UR266296512,816,753,62
UR266296537,777,892,115
UR266296583,730,737,8
UR266296584,753,574,179
UR283773175,779,630,149
UR283773186,784,972,188
UR283773871,795,1133,338
UR283773874,834,697,137
UR283773886_Foto_2,761,761,1
UR283774872,838,513,325
UR283774877,886,778,108
UR283774970,779,927,148
UR283775824,766,1211,446
UR283776009,800,909,110
UR283776034,872,1078,206
UR283776035,683,153,529
UR283776067,890,1018,128
UR283776094,954,887,66
